央视地方,#genre#
珠江频道,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=8&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://gdhj.chinashadt.com:2035/live/6.stream/chunklist_w2139490375.m3u8
珠江电影,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=7&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVS2 南方卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=9&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVS5 广东少儿,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=231&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
广东南方卫视,p2p://185.169.196.146:9906/59fd30fb0002434d02d3d053299809c9.ts
南海综合,http://183.238.77.9:9090/live/nanhaitai_2000.m3u8
顺德综合,http://183.238.77.9:9090/live/shundetai_2000.m3u8
新会综合,http://183.238.77.9:9090/live/xinhui_1500.m3u8
佛山综合,http://183.238.77.9:9090/live/foshannews_1500.m3u8
佛山公共,http://183.238.77.9:9090/live/foshanyingshi_1500.m3u8
汕头一套HD,http://183.238.77.9:9090/live/shantouyitaogaoqing_4500.m3u8#http://183.238.77.9:9090/live/shantouyitaogaoqing_4500.m3u8
汕头二套HD,http://183.238.77.9:9090/live/shantouertaogaoqing_4500.m3u8#http://183.238.77.9:9090/live/shantouertaogaoqing_4500.m3u8
汕头三套HD,http://183.238.77.9:9090/live/shantousantaogaoqing_4500.m3u8#http://183.238.77.9:9090/live/shantousantaogaoqing_4500.m3u8
港台新闻,#genre#
TVB无线新闻台,http://61.147.122.15/flv.live.xylive.tv/live/00wxxw.flv#p2p://185.169.196.146:9906/5a562bec0007bfd761a2998e00b83dd5.ts#http://www.liveviptv.xyz/tv/tvb.php#P2p://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5
明珠台,p2p://185.169.196.146:9906/59fd0d0a0009323a02476cb020fe16f9.ts
TVBS新闻台 HD,p2p://185.169.196.146:9906/59fd096d0003aa9702394e013b6206a2.ts#vjms://23.237.33.155:8500:3502/live/cid=348
TVBS,p2p://185.169.196.146:9906/59fd20d3000f24fd0294b75f4a555e2a.ts#vjms://23.237.33.155:8500:3502/live/cid=349
有线新闻台,http://61.147.122.14/flv.live.xylive.tv/live/youxianxinwen.flv#https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8#
有线18台,http://61.147.122.14/flv.live.xylive.tv/live/18tai.flv
viu six,p2p://185.169.196.146:9906/5b389c92000621bc35b08cbd438b4298.ts
viu TV,p2p://185.169.196.146:9906/59fd171800092000026eb35003107eef.ts
凤凰香港,http://stream.mtime.info/live/fhwsxg/fhwsxg.m3u8#p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
凤凰卫视,http://liveali.ifeng.com/live/FHZW.flv#p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts#vjms://23.237.33.155:8500:3502/live/cid=400
凤凰资讯,http://stream.mtime.info/live/fhzx/fhwszx.m3u8#http://47.102.142.200/live/fhzx/fhwszx.m3u8#p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
年代新闻,p2p://185.169.196.146:9906/5a56230e0004af51617ff5935a3e292e.ts#vjms://23.237.33.155:8500:3502/live/cid=455
非凡新闻,http://61.147.122.14/flv.live.xylive.tv/live/0088ndxw.flv#p2p://185.169.196.146:9906/59fd05f30007004f022bba4b77671d93.ts
三立新闻,p2p://185.169.196.146:9906/59fd08fd000707490237995b3c9f2775.ts#vjms://23.237.33.155:8500:3502/live/cid=352
东森新闻,p2p://185.169.196.146:9906/5a1427ee0009fb195fc1064a3af652d1.ts#vjms://23.237.33.155:8500:3502/live/cid=340
中天新闻,p2p://185.169.196.146:9906/59fd05020006070602280c953c2545e6.ts#vjms://23.237.33.155:8500:3502/live/cid=407
中视新闻,p2p://185.169.196.146:9906/59fd2282000219b8029b479b6fc21d86.ts
台视新闻台 HD,p2p://185.169.196.146:9906/59fd299b00054a3002b7020e67d657e3.ts
壹新闻,p2p://185.169.196.146:9906/59fd08ad000509c00236604f613b08e7.ts#vjms://23.237.33.155:8500:3502/live/cid=445
寰宇新闻,p2p://185.169.196.146:9906/59fd2b5e0006d13802bde4340bc41e87.ts#p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
环宇新闻2,p2p://185.169.196.146:9906/5a142744000f25045fbe6f82276e0d88.ts
民视新闻,p2p://185.169.196.146:9906/59fd05930008403b022a439a3b9b7401.ts#vjms://23.237.33.155:8500:3502/live/cid=454
东森财经,p2p://185.169.196.146:9906/59fd1f94000ee56d028fd937397b7e63.ts#vjms://23.237.33.155:8500:3502/live/cid=456
寰宇财经台,p2p://185.169.196.146:9906/59fd2b98000b4fba02bec7ed4c560211.ts#p8p://0198.02686.cc:16871/5d1a69bb00034ddd11bdf8710f58e2f3.ts
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
澳门卫视.,p2p://185.169.196.146:9906/5c1dd67c000148d62b45c6190e5c6d92.ts
中国电视,p2p://185.169.196.146:9906/5c1dd70200056d532b47d2a222cd0097.ts
澳门莲花卫视,p2p://185.169.196.146:9906/5acb8740000253a62c1307843e7c4bc3.ts
澳亚卫视,p2p://185.169.196.146:9906/5c1dd6c700041c232b46ebcc369677f7.ts#http://stream.mastvnet.com/MASTV/playlist.m3u8#vjms://23.237.33.155:8500:3502/live/cid=337
香港开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
KHS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RTHK31,p2p://185.169.196.146:9906/5b1ea0dc000bba59d03063fa2f1a513c.ts#p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts
RHK32,p2p://185.169.196.146:9906/5b1ea120000af380d0316d6b59657817.ts#https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
TVBS,vjms://23.237.33.155:8500:3502/live/cid=349#vjms://58.215.133.185:8500:3502/live/cid=349
CNBC,vjms://58.215.133.185:8500:3502/live/cid=98#p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts#vjms://23.237.33.155:8500:3502/live/cid=98#mitv://198.255.74.87:9906/5dc08efe000aa9d301b7846ac5b1b53c.ts
CNN HD ,p2p://185.169.196.146:9906/59fd16db000b5f05026dc5a57b516fdb.tsvjms://23.237.33.155:8500:3502/live/cid=428#p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
NHK WORLD,p2p://185.169.196.146:9906/59fd0a09000c3214023bb18461b51f7a.ts
BBC,p2p://185.169.196.146:9906/59fd16bc000f2550026d4d870b85516d.ts#vjms://23.237.33.155:8500:3502/live/cid=418#mitv://198.255.74.87:9906/5dc08f01000ad05201b7902c343bc007.ts
今日俄罗斯,p2p://185.169.196.146:9906/5acb88f40000e1422c19ae4624f1680c.ts
FRANCE 24（English）,p2p://185.169.196.146:9906/59fd268900088bbe02ab049910f0530f.ts
fyi HD,p2p://185.169.196.146:9906/59fd32500009ea1902d9064f0d2c0edc.ts
FOXNews,p2p://185.169.196.146:9906/5b1ea01b0005bd51d02d708b68395064.ts#p8p://0198.02686.cc:16871/5d1a697f0002f4fc11bd0dfb9dd398c6.ts
港台影视,#genre#
香港电影一台,P2p://3114910866:9906/5cb05c52000a69c517a988073ced7a47.ts
HBO原创电影,p2p://185.169.196.146:9906/59fd14fc0005019f026674e730ed03b5.ts#vjms://58.215.133.185:8500:3502/live/cid=436#vjms://23.237.33.155:8500:3502/live/cid=436
HBO家庭,p2p://185.169.196.146:9906/59fd152900015243026723c45811069b.ts#vjms://23.237.33.155:8500:3502/live/cid=181
HBO强档,p2p://185.169.196.146:9906/59fd22e50004a1f8029ccaff41480126.ts#vjms://23.237.33.155:8500:3502/live/cid=238
HBO,vjms://58.215.133.185:8500:3502/live/cid=261#mitv://198.255.74.87:9906/5dc08f1000069e8c01b7c9b1fc8f2c36.ts#vjms://23.237.33.155:8500:3502/live/cid=261
东森电影,p2p://185.169.196.146:9906/59fd0cab0008230a0245f94a229777bd.ts#vjms://23.237.33.155:8500:3502/live/cid=338#http://192.154.103.74:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
东森洋片台,p2p://185.169.196.146:9906/59fd17860002b83302705f6a03a560d2.ts
靖天电影台,p2p://185.169.196.146:9906/59fd358c00069b9502e5a7d404d940d2.ts#p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts
龍華經典,P2p://51.79.41.138:18912/5b14090b0001269c17d0ee93023202c3.ts#p2p://185.169.196.146:9906/59fd3363000e740302dd39b062856e0b.ts#p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3
龍華洋片,p2p://185.169.196.146:9906/59fd07650001a79102315e34781149f3.ts#mitv://198.255.74.87:9906/5dc08f2300048cfe01b81361fc3b1d55.ts
龍祥时代,p2p://185.169.196.146:9906/59fd0d3200071b6e02480863224e5f4d.ts
美亚电影台,p2p://185.169.196.146:9906/59fd08470008d4d60234d2d92e65644c.ts
卫视电影台,p2p://185.169.196.146:9906/59fd0369000ea5750221d12f32a532b8.ts#P2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts#p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts
卫视西片 HD,p2p://185.169.196.146:9906/59fd1475000301e1026465123e2e3650.ts
卫视中文台 HD,p2p://185.169.196.146:9906/59fd0394000660a0022277050be47b46.ts
纬来电影台,p2p://185.169.196.146:9906/59fd1feb0003d7be02912a31740004af.ts
FOX电影,P2p://51.79.41.138:18912/5b7267ae000b9c6c35cc884079c70164.ts#vjms://23.237.33.155:8500:3502/live/cid=94#mitv://198.255.74.87:9906/5dc08f0d0002935401b7bcf0e205eaa4.ts
FOX 家庭影院HD,p2p://185.169.196.146:9906/59fd229f000615aa029bb9ed79916213.ts
FOX动作电影 HD,mitv://198.255.74.87:9906/5dc08f0d0001bd0201b7bcb97d30ebcb.ts#http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
FOX 优质影院 HD,p2p://185.169.196.146:9906/59fd246a0009125502a2bba01b0f4bf5.ts
FOX  HD,p2p://185.169.196.146:9906/59fd14cf000321f60265c4a24ca93407.ts
FOX CRIME HD,p2p://185.169.196.146:9906/59fd14ae0007a794026544e32f606291.ts
ELTA影剧,mitv://198.255.74.87:9906/5dc08f1800025c2e01b7e7da7df39b79.ts
龍華影劇,P2p://51.79.41.138:18912/5b1408f2000aaf8c17d08f5c001549e8.ts#p2p://185.169.196.146:9906/59fd30d6000988d702d341a0202638f5.ts
采昌影劇台,P2p://51.79.41.138:18912/5b1409db0009049a17d41d161677386d.ts#p2p://185.169.196.146:9906/59fd15a600029d6902690c5b552d077d.ts#p2p://185.169.196.146:9906/59fd15cc000cd7cc0269a36a466420ca.ts
龍華偶像 HD,p2p://185.169.196.146:9906/59fd38a1000ca5a002f1b363682d5b70.ts
TVB星河,http://61.147.122.14/flv.live.xylive.tv/live/0040.flv#p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
鸿基影剧台,p2p://185.169.196.146:9906/59fd2a8b000cb57f02baad731b97024c.ts
華藝影剧台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts
三立戏剧台,p2p://185.169.196.146:9906/59fd274c0001400d02adfc6d23452c25.ts
纬来戏剧,p2p://185.169.196.146:9906/59fd20190002fb090291ddb256d73759.ts#vjms://23.237.33.155:8500:3502/live/cid=137
八大戏剧,p2p://185.169.196.146:9906/59fd21c7000edfe70298706f2ef217c7.ts#mitv://198.255.74.87:9906/5dc08f1f00038bfa01b80380693eb7f3.ts#vjms://23.237.33.155:8500:3502/live/cid=110
EYETV戏剧台,p2p://185.169.196.146:9906/59fd35bd00061f9e02e6671d60d7011c.ts#p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy#https://116.77.72.195/streams/d/fhdy/playlist.m3u8
CHC家庭电影,p2p://185.169.196.146:9906/59fd25b000031edb02a7b38a6a5d0696.ts#rtsp://61.156.103.73:554/PLTV/88888888/224/3221226699/10000100000000060000000001972393_0.smil
CHC动作电影,p2p://185.169.196.146:9906/59fd25c800060e1102a812154e343f18.ts#rtsp://61.156.103.73:554/PLTV/88888888/224/3221226691/10000100000000060000000001972392_0.smil
CHC高清电影,p2p://185.169.196.146:9906/59fd0b3f0002084d024069e339cc1997.ts#rtsp://61.156.103.73:554/PLTV/88888888/224/3221226688/10000100000000060000000001972391_0.smil
WarnerTV,p2p://185.169.196.146:9906/5a321796000072dfd4b2057134a263e5.ts#http://192.200.120.82:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
AXN,p2p://185.169.196.146:9906/59fd2573000c0b9e02a6c794631510c8.ts#vjms://23.237.33.155:8500:3502/live/cid=2
CINEMAX,p2p://185.169.196.146:9906/59fd0b0b00042603023f9f5023951856.ts#mitv://198.255.74.87:9906/5dc08f0c000d7d5501b7bbd3536df5c6.ts
CinemaWorld,mitv://198.255.74.87:9906/5dc08f10000960c801b7ca669ad1a62d.ts
FOX CRIME,mitv://198.255.74.87:9906/5dc08f0c000f26df01b7bc4033c0db54.ts
CatchPlay电影,mitv://198.255.74.87:9906/5dc08f0200009eff01b791787b4828f5.ts
FX,p2p://185.169.196.146:9906/59fd279b000c06e702af33d47d4c770a.ts#p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
靖天戏剧,p2p://185.169.196.146:9906/59fd36f80009b75202eb367f603a273f.ts#p2p://fccsovh.pvbox.live:18912/5b14093e000c1de917d1b89a306502e9
天映经典,p2p://185.169.196.146:9906/5b2e01c400098d0f0c42edad22c37385#p2p://fccsovh.pvbox.live:18912/5b3c4f9b00031383627eef60721e1738#P2p://51.79.41.138:18912/5b3c4f9b00031383627eef60721e1738.ts
天映频道,mitv://198.255.74.87:9906/5dc08f10000b0c4f01b7cad355c99671.ts
龍華戏剧,p2p://185.169.196.146:9906/59fd38840006b53d02f14094613f7615.ts#http://vip.xp3.biz/HK.php?id=13#mitv://198.255.74.87:9906/5dc08f230001dd4c01b812b1e9915397.ts
靖天映画,p2p://185.169.196.146:9906/59fd3565000a788d02e5107642590dce.ts
靖洋戏剧,p2p://185.169.196.146:9906/59fd259600089bb202a74f6123416e8d.ts#mitv://198.255.74.87:9906/5dc08f1b000b184201b7f5ce694c5242.ts
CHINA MOVIE,p2p://185.169.196.146:9906/59fd31940007515202d627434d991d4f.ts
都市剧场 HD,p2p://185.169.196.146:9906/5bf91be6000ed46d9bcbb93713e17809.ts
东森戏剧,p2p://185.169.196.146:9906/59fd17a500022c250270d8533c186ce9.ts
星卫电影 ,p2p://185.169.196.146:9906/59fd086a00072cbb02355b236c4a3fcb.ts
珠江電影,p2p://185.169.196.146:9906/5a6c94d5000dae17b92d43033f1e125d.ts
好莱坞电影,p2p://185.169.196.146:9906/5a141b66000b4be65f90135822b40e43.ts#http://192.200.120.82:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
综合娱乐,#genre#
TVB J2,p2p://185.169.196.146:9906/59fd25e80008aaec02a88fc1476f2edf.ts#P2p://sdgdklwos.finetv.tv:9906/59fd25e80008aaec02a88fc1476f2edf#vjms://23.237.33.155:8500:3502/live/cid=363#p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
TVB明珠台,vjms://23.237.33.155:8500:3502/live/cid=367#p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts#mitv://198.255.74.87:9906/5dc08f2e0006a51101b83ee3493e8249.ts
TVB翡翠台,http://61.147.122.15/flv.live.xylive.tv/live/00fc.flv#P2p://sdgdklwos.finetv.tv:9906/5ad32c0d0000bbd049ef0eab717740e2#P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8
民視台灣台HD,P2p://51.79.41.138:18912/5b14095f00097ec617d238d6575b7b8c.ts#p2p://185.169.196.146:9906/59fd0670000decc5022da459628c3d1a.ts
TVBS欢乐台,p2p://185.169.196.146:9906/59fd20ae000635720294248563346fd6.ts#vjms://23.237.33.155:8500:3502/live/cid=438#rtmp://59.124.75.137/sat/tv421
TVBS精采台HD,P2p://51.79.41.138:18912/5b14095e000d4f6717d235e84b4432ff.ts#p2p://185.169.196.146:9906/59fd250f000aa01602a54096673b0f2a.ts#p8p://0198.02686.cc:16871/5d1a69ab0004fab811bdba5fa309b278.ts
中视 HD,p2p://185.169.196.146:9906/59fd06ac000555a7022e8c862ebc1019.ts
公视 HD,p2p://185.169.196.146:9906/59fd0656000e66cd022d3ee840ad175d.ts#vjms://23.237.33.155:8500:3502/live/cid=236
华视 HD,p2p://185.169.196.146:9906/59fd068a0005f99e022e07d55c2f581d.ts#vjms://23.237.33.155:8500:3502/live/cid=451
民视,p2p://185.169.196.146:9906/59fd230300046dc8029d402053e02fbf.ts#vjms://23.237.33.155:8500:3502/live/cid=226#rtmp://59.124.75.137/sat/tv051
公視3,P2p://51.79.41.138:18912/5b14094a0002d1d117d1e518204a1cf0.ts#p2p://185.169.196.146:9906/5ac5da01000d09fc15e6046427920804.ts
台视,p2p://185.169.196.146:9906/59fd099c00008ebf023a04ce64d57ff4.ts#rtmp://59.124.75.137/sat/tv071#vjms://23.237.33.155:8500:3502/live/cid=453
三立都会,p2p://185.169.196.146:9906/59fd20f5000e6b4602953c0079210fd1.ts#vjms://23.237.33.155:8500:3502/live/cid=226
三立台湾,p2p://185.169.196.146:9906/5a1425f00009bfad5fb93e0a6f7070c4.ts#vjms://23.237.33.155:8500:3502/live/cid=437#p8p://0198.02686.cc:16871/5d1a69ae00025bef11bdc56ba098b443.ts
中天娱乐,vjms://23.237.33.155:8500:3502/live/cid=350#mitv://198.255.74.87:9906/5dc08f1f000530a701b803eb78308968.ts
八大综合,p2p://185.169.196.146:9906/59fd22220005cbed0299d18627a207f7.ts#vjms://23.237.33.155:8500:3502/live/cid=354#http://192.200.120.82:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大娱乐台 HD,p2p://185.169.196.146:9906/59fd38fe000e2eeb02f31f187a8b3f49.ts
八大第一,p2p://185.169.196.146:9906/59fd22540006fb57029a95244a947e57.ts#vjms://23.237.33.155:8500:3502/live/cid=441
国兴卫视,p2p://185.169.196.146:9906/59fd0565000d04390229912232d21634.ts#vjms://23.237.33.155:8500:3502/live/cid=424
华视,p2p://185.169.196.146:9906/59fd23240005c9a4029dc1561885012e.ts
韩国娱乐台,p2p://185.169.196.146:9906/5c02a43d000dd8e8c1088b4117901dfc.ts
JET综合,p2p://185.169.196.146:9906/59fd054a00006c030229246e6fa27a75.ts#p8p://0198.02686.cc:16871/5d1a69a7000abe1711bdac390219d138.ts
三立综合台,p2p://185.169.196.146:9906/59fd27240003732f02ad60c95d8e10a7.ts#p8p://0198.02686.cc:16871/5d1a69fa0007d2f011beefb295d4d371.ts
中天综合,p2p://185.169.196.146:9906/59fd04bc00059d610226fb164a845fa5.ts#vjms://23.237.33.155:8500:3502/live/cid=341#http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天亚洲 ,P2p://190.2.146.92:18912/5c724839000d2f361d51a7e41eb00016.ts
中天娱乐,p2p://185.169.196.146:9906/59fd049e0006fb6e0226863427c16955.ts#http://192.154.103.74:8080/ZZ_zhongtianyule/ZZ_zhongtianyule.m3u8
壹综合,p8p://0198.02686.cc:16871/5d1a69b70007631411bde9dd9eaae997.ts
东森综合,p2p://185.169.196.146:9906/5a141ade0007bc435f8dff2d5b3453d7.ts#vjms://23.237.33.155:8500:3502/live/cid=333
有线综合娱乐台,http://testalicdn2.cdn.utvhk.com/live/72ee37b54d524bcb806957577dfdfd72/fe371c746eb94b01b7fb0e70569a2e9f-1.m3u8
中視經典,P2p://51.79.41.138:18912/5b140a14000a368c17d4fc0d0e2537ba.ts#p2p://185.169.196.146:9906/59fd09bd0002ab6d023a86337415321a.ts
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
tvN,p2p://185.169.196.146:9906/59fd248e000a1aa502a3488f618b6de7.ts#p8p://0198.02686.cc:16871/5d1a69ac0001052011bdbd440481f777.ts
华丽,p2p://fccsovh.pvbox.live:18912/5b3c4fa10001acfa627f067273f636b0#mitv://198.255.74.87:9906/5dc4e32300010cc212a0327c9fcab557.ts
全佳,mitv://198.255.74.87:9906/5dc4e322000da68812a031ce725ce7c2.ts
双星,mitv://198.255.74.87:9906/5dc4e322000cc35412a03194480a0a2f.ts
星空卫视,p2p://185.169.196.146:9906/5acb8af3000978192c217c90517245b7.ts
星卫娱乐,p2p://190.2.146.92:18912/5c724a0a000180991d58bd4f6e533ad5
东森亚洲台 HD,p2p://185.169.196.146:9906/59fd05260002b0730228985b2c380c8a.ts
东森超视,p2p://185.169.196.146:9906/5c02a2e500002a84c1034806691f25dc.ts#mitv://fccsovh.pvbox.live:18912/5c72487c000667911d52abe7044c2b21
纬来综合,mitv://198.255.74.87:9906/5dc08f26000e212e01b8218d6fb61da5.ts
靖天日本 HD,p2p://185.169.196.146:9906/59fd2893000bff8802b2fc847a9852a6.ts
曼迪日本台,p2p://185.169.196.146:9906/59fd3343000561bb02dcba5e474715ac.ts
纬来日本,p2p://185.169.196.146:9906/5bc8a92100047ccf6299e01b2aac4b86.ts#vjms://23.237.33.155:8500:3502/live/cid=102
龙华日韩,http://vip.xp3.biz/HK.php?id=14
寰宇综合 HD,p2p://185.169.196.146:9906/59fd383a000db1c102f021590c272f6e.ts
ELTA综合,p2p://185.169.196.146:9906/59fd26ca00086abe02ac0272796720c5.ts
卫视中文台,mitv://198.255.74.87:9906/5dc08f10000e5eb101b7cbad75968b35.ts
纬来精彩 HD,p2p://185.169.196.146:9906/5ac5d68600012bae15d868ee776c7fe2.ts
MOMO综合,rtmp://59.124.75.137/sat/tv761
港台体育,#genre#
FOX SPORTS ,p2p://185.169.196.146:9906/5b2e013f0005fbb20c40e53b79c61f74.ts
FOX SPORTS 2,p2p://185.169.196.146:9906/5b2e017100007d2d0c41a7236d450a00.ts#rtmp://59.124.75.137/sat/tv741#rtmp://59.124.75.137/sat/tv741
FOXSPORT3,p2p://185.169.196.146:9906/59fd0ab7000ca0d6023e595351427583.ts#mitv://198.255.74.87:9906/5dc08f140009290701b7d9f7e97f9c57.ts
ELTA体育HD,p2p://185.169.196.146:9906/59fd07ba000a4d260232ac6f507c5a84.ts#vjms://58.215.133.185:8500:3502/live/cid=266#vjms://23.237.33.155:8500:3502/live/cid=266
ELTA體育2台201台,P2p://51.79.41.138:18912/5b1409da0004ba1317d418157a2631bc.ts#p2p://185.169.196.146:9906/59fd37f9000df20002ef2381617811bf.ts
ELTA体育3 ,p2p://185.169.196.146:9906/5b1ea05d0009a88cd02e7355473b4230.ts#P2p://190.2.146.92:18912/5c7249f7000966361d58752a73813a0e.ts
曼联足球台,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
皇马足球台,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
博斯无限,p2p://185.169.196.146:9906/59fd149100031ddf0264d2721a4e5126.ts
博斯高球1,P2p://51.79.41.138:18912/5b1409f3000f373217d47c6d014c2310.ts#vjms://23.237.33.155:8500:3502/live/cid=265#p2p://185.169.196.146:9906/59fcf4c90006ba2c01e8ae1c1ec827ca.ts
